e4 e5
Nf3 Nc6
Bc4 Be7
c3 d6
O-O Nf6
d3 h6
Re1 O-O
Nbd2 a6
b4 Be6
Bb3 Bxb3
Qxb3 Kh7
d4 Nd7
d5 Ncb8
Nf1 f5
exf5 Rxf5
Qc2 g6
Ng3 Rf7
Qd2 Qf8
c4 Nf6
c5 Nbd7
h4 Qg7
Qd3 e4
Nxe4 Nxe4
Qxe4 Qxa1
Bxh6 Qxe1+
Qxe1 Kxh6
Qe6 Kg7
Qxd7 Bxh4
Qg4 Bf6
cxd6 cxd6
Qe6 Rd8
Qe3 Rc7
Nd4 Bxd4
Qxd4+ Kf7
Qh4 Rdd7
Qh7+ Kf6
Qh8+ Rg7
f4 Rcd7
Qf8+ Rgf7
Qh8+ Kf5
Qd4 Rfe7
Qd3+ Kxf4
Qxg6 Ke5
Qd3 Rc7
Kf2 Rf7+
Ke3 Rf4
Qg6 Rf6
Qe4# Kxe4+
Kxe4 1-0
